ID,起点经维度;终点经维度,路段名,流畅指数,缓行指数,拥堵指数,未知指数,路况,路况描述
1,"[121.315,31.195];[121.32,31.2]",虹翟高架路：双向畅通。,75.00%,0.00%,0.00%,25.00%,缓行,轻度拥堵
2,"[121.355,31.22];[121.36,31.225]",北翟路：从祁连山南路桥到外环高速入口行驶缓慢。,50.00%,50.00%,0.00%,0.00%,缓行,轻度拥堵
3,"[121.485,31.26];[121.49,31.265]",临平北路：从宝安支路到四平路严重拥堵；四平路：从吴淞路到临平北路行驶缓慢；欧阳路：自南向北畅通，反向缓慢。,62.50%,25.00%,12.50%,0.00%,拥挤,中度拥堵
4,"[121.51,31.15];[121.515,31.155]",杨南路：自东向西畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
5,"[121.77,31.19];[121.775,31.195]",华夏高架路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
6,"[121.37,31.23];[121.375,31.235]",金沙江路：自东向西畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
7,"[121.41,31.22];[121.415,31.225]",内环高架路：杨浦大桥附近浦西往浦东方向畅通。,87.50%,0.00%,0.00%,12.50%,缓行,轻度拥堵
8,"[121.48,31.15];[121.485,31.155]",济阳路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
9,"[121.485,31.265];[121.49,31.27]",欧阳路：自南向北畅通，反向缓慢。,83.33%,16.67%,0.00%,0.00%,缓行,轻度拥堵
10,"[121.55,31.205];[121.555,31.21]",梅花路：卓美亚喜马拉雅酒店附近自西向东行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
11,"[121.57,31.21];[121.575,31.215]",内环高架路：双向畅通。,85.71%,0.00%,0.00%,14.29%,缓行,轻度拥堵
12,"[121.34,31.17];[121.345,31.175]",沪渝高速：从嘉闵高架路出口到外环沪青平立交桥行驶缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
