标题,星级,内容,标签
Lyn Lim,4,Flight service has improved the last time I travelled to Israel. Food stew chicken was tasty & good range of fruits given. Crews are more alert & better than before. Seats are cleaner except no small pillows. Range of movies are fine. Though felt turbulent but flight are smooth it’s landing especially. Crew staff are quick to get passengers seated...,Southeast Asia' 'Economy' 'Bangkok - Singapore
Avoid traveling with this Airline specifically from Dubai,2,"Terrible, terrible service. I found the staff at the check in area (specially the one who checked me in) very rude and obnoxious. They talk to us like we are not customers and it feels like they are doing us a favor. I thought it was just me but when I was in the plane I heard some people with...",International' 'Economy' 'Dubai - Hong Kong
Service is still alive,5,"The service was excellent and the aircraft was clean. I felt comfortable asking for extra services throughout the flight and my requests were met with a smile.
Unfortunately Cathay doesn't have its own business class lounge in L.A. and subscribes to a multi airline lounge service. Don't bother going there. The food was awful and the restrooms were filthy. Now...",International' 'Business Class' 'Los Angeles - Hong Kong
Service,4,"had a great flt we were most impressed with the HKG check in people free
the flt service was second to none",International' 'Economy' 'Hong Kong - Vancouver
Cathay came through when cruise delayed,5,"We were delayed on cruise and it was impossible to make our flight! They allowed us to move our flight ahead 24 hours because they understood we had done everything possible to make the original flight but due to several unforeseen delays we couldn’t make it!
Service excellent! Best take off and landing ever! Outstanding pilot! But man the seats...",Canada' 'Economy' 'New York City - Vancouver
travel adelaide to .hong kong,5,"my wife is disabled , the crew assisted my wife by wheel chair to the bathroom, assisted us in hong kong to the baggage area, nothing was to much trouble. this was our 1st flight oversea would fly with them again",International' 'Premium Economy' 'Adelaide - Hong Kong
OVER ALL FINE,3,"food was not great and customer service was pathetic.
dont want to travel with them again in future .",International' 'Economy' 'Brisbane - New Delhi
Good service in transit,4,The flight was late leaving Barcelona and although it made up a little time into Hong Kong we had very little time to transit to our Sydney flight. With a number of other passengers also transitting to other flights we were met as we disembarked and smartly walked through the airport to catch the second flight. We appreciated the guidance....,International' 'Premium Economy' 'Barcelona - Sydney
Consistently bad service,1,"For some reason I thought that this airline provides a descent service. I was wrong
Second flight now with this airline. Same route same poor service mostly from the ground crew in Cebu but not much better in Hong Kong
Will try to avoid this airline",Asia' 'Economy' 'Cebu Island - Hong Kong
Wonderful if you are a frequent flier with elite status.,4,"A short night flight of about 5 hours makes it hard to get a meal and sleep but they tried to serve food promptly.
Service is attentive if you ask. Crew do a lot of walking hurriedly up and down but help if you ask.
Biz class flat bed is good, duvet nice with no static
Very pleasant experience.
Return...",USA' 'Business Class' 'Vancouver - New York City
