ID,起点经度,起点维度,终点经度,终点维度,路段名,流畅指数,缓行指数,拥堵指数,未知指数,路况,路况描述
1,121.315,31.195,121.32,31.2,虹翟高架路：双向畅通。,75.00%,0.00%,0.00%,25.00%,缓行,轻度拥堵
2,121.355,31.22,121.36,31.225,北翟路：祁连山南路桥附近自西向东畅通。,66.67%,0.00%,0.00%,33.33%,缓行,轻度拥堵
3,121.485,31.26,121.49,31.265,欧阳路：自南向北畅通，反向缓慢。,87.50%,12.50%,0.00%,0.00%,缓行,轻度拥堵
4,121.51,31.15,121.515,31.155,杨南路：自东向西畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
5,121.77,31.19,121.775,31.195,华夏高架路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
6,121.37,31.23,121.375,31.235,金沙江路：绿洲中环中心附近自西向东行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
7,121.41,31.22,121.415,31.225,万航渡路：曹杨路桥附近自西向东行驶缓慢。,77.78%,11.11%,0.00%,11.11%,缓行,轻度拥堵
8,121.48,31.15,121.485,31.155,济阳路：华夏西路附近自南向北行驶缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
9,121.485,31.265,121.49,31.27,山阴路：自南向北畅通，反向缓慢；欧阳路：自南向北畅通，反向缓慢；祥德路：从曲阳路到山阴路行驶缓慢。,50.00%,50.00%,0.00%,0.00%,缓行,轻度拥堵
10,121.55,31.205,121.555,31.21,白杨路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
11,121.57,31.21,121.575,31.215,内环高架路：双向畅通。,85.71%,0.00%,0.00%,14.29%,缓行,轻度拥堵
12,121.34,31.17,121.345,31.175,沪渝高速：从沈海高速出口到外环沪青平立交桥严重拥堵。,75.00%,0.00%,25.00%,0.00%,拥挤,中度拥堵
14,121.37,31.225,121.375,31.23,同普路：从泾阳路到真北路双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
15,121.39,31.26,121.395,31.265,中环路：梅陇立交桥附近双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
16,121.42,31.185,121.425,31.19,内环高架路：内环延安西路立交桥附近外圈方向行驶缓慢，从南浦大桥到杨浦大桥畅通。,91.67%,8.33%,0.00%,0.00%,缓行,轻度拥堵
17,121.435,31.18,121.44,31.185,零陵路：上海体育场附近自东向西行驶缓慢。,69.23%,15.38%,7.69%,7.70%,缓行,轻度拥堵
18,121.435,31.29,121.44,31.295,中环路：梅陇立交桥附近双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
